200,-276,-128,64.752,-420,-57.534
-3.266,356,66,-4.991,-289,-55
-27.173,-197,-80.534,-26.169,-52.77,-486
-136,94.12,-439,-97,-30,-350
-418,300,44.554,-333,390,-269
18.903,-43.46,272,45.119,-80.814,306
-339,212,87.217,-58,370,-113
-214,81.16,367,-198,269,-494
282,460,93.077,274,-66.893,90
-56.111,418,-452,-337,14.929,-42.817
250,-280,-14.043,-430,477,215
77.782,-59,253,30.76,-110,-12.482
-127,-95.517,-261,-82,9.836,-270
167,2,-206,76.119,50.043,62.424
-357,-71,-31.096,-35,-417,-113
-70.727,40,-33.79,-43.603,15.43,5.872
54,47.392,-315,-8.391,-237,56
79,-17,0.688,489,335,391
-177,-405,-112,-10.757,307,-91.77
53,290,-69.9,18,-362,-129
135,-214,-250,282,-82.911,-235
-477,-96.812,135,-112,-401,78
-83.348,-243,329,123,94,29.809
121,202,123,-451,-19.335,75.895
3.273,-91.819,-48.35,20.844,305,-108
-168,-216,-272,-48.411,-55,-240
-261,173,-62,448,98,-32
-106,22.53,197,-349,26.814,413
2.545,-13,157,-99.863,390,-444
325,263,-195,-87.159,81.333,187
254,-68,-95,24.869,202,-35.408
-368,92.383,-341,-96.362,13.116,-457
31,-470,-276,-280,286,-317
54.631,67.771,238,-408,-208,273
-141,-382,-67,43,72.134,-133
26.554,-403,387,460,31.075,112
337,-182,-229,-215,-0.094,158
473,-243,226,6.791,-499,82
218,-44.652,-71,396,-68.637,-15.442
-94.187,-49.176,2.144,-31.117,339,-1.244
8,-134,-319,-473,199,-234
-483,390,45.407,17.653,-112,144
-68.771,361,-414,-8,201,-157
5,58.137,-87.015,-67.704,303,78
264,-53.862,-405,107,-77.472,217
100,472,-446,47,-89.041,-339
9.035,66.543,48.675,82,-14.688,-415
-271,457,-54,213,95.036,-55.549
94.826,-230,-0.72,364,-69,295
42.146,-55,45.673,163,67,274
71.638,453,-115,151,358,-374
-269,-168,11.891,-338,349,-464
111,99.217,-275,-326,16.166,438
237,-143,419,155,191,-238
191,13.294,-113,68.066,-53.549,91.583
-333,168,-339,-53.34,-264,35.946
-231,-214,-90,41,137,-21.816
431,70.77,22.452,63.239,-273,14.964
-7.098,-317,-81.9,-343,43.145,95.917
20.241,149,-58.705,-210,11,473
15,-0.022,-90,-397,-81.22,92.943
202,44.089,-216,49,116,-499
27.054,-33.4,-27.051,-53.565,-17.969,-304
108,122,180,-59.689,-41.17,405
-360,-150,-83,-483,-19.916,64
-400,7.788,15.969,-117,-73.118,174
-10.675,337,-263,228,73.607,476
-259,-12.557,90.975,363,82.234,-327
249,-37.544,-6.485,463,21.53,298
49,48,67.292,47.715,-333,39.132
-65.878,430,63.005,104,250,44.264
-438,358,-7.524,47,12,-34
4.137,259,-83.684,214,-367,16.105
-231,64,-65.749,-266,-112,-358
368,150,31.138,360,-251,-9
93,30.216,-150,2.61,356,413
40.34,-169,-444,110,24.54,-164
-182,412,-363,-53.087,8.364,231
278,85,-343,-87,-97.563,86
21.897,16.197,303,-411,193,-77.721
424,54.533,4.331,-238,473,-74
146,15.851,-98.59,107,-97.053,400
-320,9,-319,-21,-99,238
399,72.044,-9.818,6.537,85.802,-67.326
125,-165,90,378,79.628,32.464
-439,-83,-172,427,185,-423
146,26.384,-53.578,411,-205,278
-111,-461,-441,59.174,-59.748,61.542
246,-442,438,66,-412,133
-94.873,-21,74.106,295,-439,64.08
75.878,-325,-114,22.211,-106,-11.041
34.564,340,0.611,181,-14,-25
-191,-394,-159,209,287,-55.872
-55.93,-55.419,-109,222,-87.471,-10.204
266,275,38.628,-327,173,500
-460,96,188,90.927,279,91.339
127,368,-424,361,391,402
89,-57.327,-74.227,35.105,-228,181
-339,-163,-331,4.334,-91.349,289
165,-382,-268,268,-89.051,-343
267,-479,478,302,-17.086,174
141,202,-175,-29.357,-371,36
87,-18.172,467,-19,123,93.222
-41,94,33,60.531,265,36.591
19.029,-10.45,205,-349,-91,76
-61.165,-109,-490,-133,280,-81.24
-238,-391,386,-145,11.857,72
-102,-56.554,-63,497,-350,43
29.947,-186,52,-334,377,190
-92.153,-465,11.511,170,-171,-460
31.687,38.093,-13.651,-317,-14,-71
-4.324,277,429,394,-387,161
-419,-9,95,54.318,-114,-373
-415,189,-106,-445,220,475
430,76.711,-333,-81.87,236,23
49.489,-68.241,-23.948,32.511,57.578,-194
